,Data
1695,-0.115
1696,-0.151
1697,-0.167
1698,-0.161
1699,-0.138
1700,-0.1
1701,-0.054
1702,-0.007
1703,0.034
1704,0.064
1705,0.08
1706,0.081
1707,0.07
1708,0.048
1709,0.019
1710,-0.012
1711,-0.04
1712,-0.064
1713,-0.079
1714,-0.085
1715,-0.083
1716,-0.073
1717,-0.056
1718,-0.034
1719,-0.008
1720,0.019
1721,0.047
1722,0.073
1723,0.095
1724,0.11
1725,0.118
1726,0.118
1727,0.11
1728,0.095
1729,0.076
1730,0.054
1731,0.029
1732,0.003
1733,-0.022
1734,-0.047
1735,-0.07
1736,-0.091
1737,-0.11
1738,-0.126
1739,-0.138
1740,-0.144
1741,-0.141
1742,-0.128
1743,-0.103
1744,-0.068
1745,-0.025
1746,0.022
1747,0.069
1748,0.111
1749,0.146
1750,0.169
1751,0.179
1752,0.176
1753,0.159
1754,0.13
1755,0.092
1756,0.047
1757,-0.0
1758,-0.045
1759,-0.083
1760,-0.113
1761,-0.131
1762,-0.138
1763,-0.132
1764,-0.114
1765,-0.086
1766,-0.051
1767,-0.011
1768,0.029
1769,0.065
1770,0.094
1771,0.111
1772,0.115
1773,0.106
1774,0.085
1775,0.052
1776,0.013
1777,-0.03
1778,-0.072
1779,-0.109
1780,-0.139
1781,-0.157
1782,-0.163
1783,-0.152
1784,-0.126
1785,-0.084
1786,-0.03
1787,0.033
1788,0.096
1789,0.153
1790,0.198
1791,0.224
1792,0.227
1793,0.206
1794,0.164
1795,0.104
1796,0.035
1797,-0.034
1798,-0.097
1799,-0.147
1800,-0.18
1801,-0.194
1802,-0.19
1803,-0.17
1804,-0.139
1805,-0.101
1806,-0.06
1807,-0.022
1808,0.011
1809,0.037
1810,0.055
1811,0.067
1812,0.075
1813,0.079
1814,0.08
1815,0.08
1816,0.079
1817,0.076
1818,0.071
1819,0.062
1820,0.05
1821,0.035
1822,0.018
1823,-0.0
1824,-0.017
1825,-0.03
1826,-0.038
1827,-0.04
1828,-0.036
1829,-0.026
1830,-0.012
1831,0.006
1832,0.025
1833,0.044
1834,0.061
1835,0.074
1836,0.08
1837,0.077
1838,0.065
1839,0.042
1840,0.01
1841,-0.028
1842,-0.069
1843,-0.108
1844,-0.143
1845,-0.172
1846,-0.191
1847,-0.202
1848,-0.201
1849,-0.189
1850,-0.165
1851,-0.129
1852,-0.084
1853,-0.032
1854,0.022
1855,0.073
1856,0.116
1857,0.147
1858,0.166
1859,0.173
1860,0.17
1861,0.162
1862,0.15
1863,0.137
1864,0.124
1865,0.11
1866,0.095
1867,0.077
1868,0.057
1869,0.034
1870,0.009
1871,-0.014
1872,-0.033
1873,-0.045
1874,-0.048
1875,-0.041
1876,-0.026
1877,-0.006
1878,0.017
1879,0.036
1880,0.046
1881,0.045
1882,0.028
1883,-0.004
1884,-0.049
1885,-0.102
1886,-0.156
1887,-0.204
1888,-0.239
1889,-0.255
1890,-0.249
1891,-0.223
1892,-0.179
1893,-0.121
1894,-0.058
1895,0.004
1896,0.057
1897,0.098
1898,0.123
1899,0.131
1900,0.126
1901,0.111
1902,0.09
1903,0.069
1904,0.052
1905,0.043
1906,0.045
1907,0.057
1908,0.079
1909,0.107
1910,0.137
1911,0.164
1912,0.184
1913,0.193
1914,0.188
1915,0.168
1916,0.133
1917,0.085
1918,0.029
1919,-0.032
1920,-0.093
1921,-0.148
1922,-0.193
1923,-0.225
1924,-0.241
1925,-0.242
1926,-0.227
1927,-0.198
1928,-0.16
1929,-0.115
1930,-0.069
1931,-0.024
1932,0.017
1933,0.052
1934,0.082
1935,0.104
1936,0.12
1937,0.126
1938,0.121
1939,0.104
1940,0.076
1941,0.04
1942,-0.001
1943,-0.04
1944,-0.075
1945,-0.1
1946,-0.113
1947,-0.114
1948,-0.102
1949,-0.078
1950,-0.047
1951,-0.013
1952,0.022
1953,0.052
1954,0.076
1955,0.091
1956,0.097
1957,0.096
1958,0.088
1959,0.077
1960,0.063
1961,0.05
1962,0.038
1963,0.028
1964,0.02
1965,0.012
1966,0.005
1967,-0.0
1968,-0.004
1969,-0.006
1970,-0.004
1971,0.002
1972,0.011
1973,0.022
1974,0.033
1975,0.04
1976,0.04
1977,0.031
1978,0.013
1979,-0.015
1980,-0.049
1981,-0.086
1982,-0.121
1983,-0.149
1984,-0.166
1985,-0.167
1986,-0.151
1987,-0.118
1988,-0.07
1989,-0.012
1990,0.051
1991,0.112
1992,0.162
1993,0.195
1994,0.205
1995,0.188
1996,0.145
